RollNumber,Attendance,StudyHours,PreviousExamScore,AssignmentsCompleted,ExtraActivities,FinalGrade
1,55,4,93,84,1,B
2,92,6,41,79,1,D
3,65,5,88,50,1,C
4,77,2,46,58,1,F
5,95,1,65,68,0,C
6,57,4,42,96,1,F
7,94,4,95,84,1,B
8,100,6,62,67,0,C
9,77,6,47,82,0,D
10,68,7,30,97,1,F
11,87,4,37,63,1,F
12,81,5,47,72,0,D
13,83,7,39,100,0,D
14,97,3,78,53,1,C
15,89,1,39,80,1,F
16,64,1,31,76,1,F
17,83,6,68,79,0,C
18,58,1,49,88,1,D
19,72,1,37,59,1,F
20,71,1,75,65,1,C
21,91,3,30,76,0,F
22,50,7,82,71,0,C
23,97,5,68,79,1,C
24,80,2,52,93,1,D
25,100,3,91,66,1,B
26,75,2,55,79,1,D
27,87,1,63,96,1,C
28,91,5,86,79,1,B
29,74,7,72,67,1,C
30,88,3,55,98,0,C
31,65,3,65,96,0,C
32,92,4,33,72,1,F
33,90,4,71,71,0,C
34,84,7,51,52,0,F
35,89,5,53,85,0,D
36,83,4,79,75,1,C
37,89,4,52,59,0,D
38,56,2,97,85,1,B
39,56,2,71,91,1,C
40,76,2,65,85,0,C
41,51,6,50,63,1,F
42,69,5,97,64,1,B
43,58,4,64,85,0,D
44,95,1,67,95,0,C
45,50,6,96,62,1,C
46,59,6,84,79,0,C
47,93,6,48,73,0,D
48,80,1,74,54,1,D
49,65,1,99,95,0,B
50,85,6,68,61,1,D
51,72,1,63,54,1,D
52,100,5,44,75,1,D
53,82,2,36,51,0,F
54,87,5,37,98,1,D
55,51,2,71,71,1,D
56,64,5,55,82,1,D
57,90,5,93,53,1,B
58,95,6,73,87,0,C
59,94,6,67,63,0,C
60,77,6,81,87,0,B
61,50,3,68,99,0,C
62,51,1,44,60,0,F
63,72,7,39,98,1,D
64,99,2,45,60,0,F
65,96,3,36,58,1,F
66,79,1,86,61,0,C
67,79,3,88,85,0,B
68,77,4,69,94,1,C
69,95,2,92,53,0,B
70,61,3,31,90,0,F
71,99,4,68,54,0,C
72,81,6,45,87,0,D
73,50,1,99,60,1,C
74,57,3,66,81,0,D
75,96,6,76,87,0,B
76,70,1,81,78,0,C
77,86,7,45,85,0,D
78,94,6,38,77,1,F
79,78,7,76,89,0,C
80,54,4,77,72,1,C
81,68,2,37,81,1,F
82,92,3,85,91,1,B
83,77,5,61,77,1,D
84,64,1,58,54,1,F
85,55,7,63,57,0,D
86,86,1,80,81,1,C
87,61,5,74,57,0,D
88,82,6,61,51,1,D
89,96,2,82,90,1,B
90,66,2,78,96,0,C
91,98,5,32,69,1,F
92,61,5,37,60,0,F
93,89,2,36,56,0,F
94,97,4,76,72,1,C
95,59,1,78,100,0,C
96,79,1,92,54,0,C
97,70,7,67,90,1,C
98,79,2,72,92,1,C
99,50,4,69,65,0,D
100,57,5,67,52,0,D
101,98,4,55,58,0,D
102,71,7,36,70,1,F
103,72,7,37,68,1,F
104,66,7,63,78,0,D
105,91,1,42,97,0,D
106,86,4,86,66,0,C
107,85,5,78,95,1,B
108,80,6,37,96,1,D
109,94,4,62,63,0,D
110,59,1,46,95,1,D
111,88,7,88,74,0,B
112,79,2,100,84,0,B
113,89,6,100,56,0,B
114,74,4,97,83,0,B
115,99,7,97,86,1,A
116,82,4,58,93,0,C
117,85,2,93,77,0,B
118,61,7,99,78,0,B
119,77,2,50,72,0,D
120,55,3,64,97,0,D
121,71,1,83,88,1,C
122,63,1,69,92,1,C
123,69,2,59,69,1,D
124,87,4,67,80,0,C
125,100,2,89,74,0,B
